version;filename;loc;loc_touched;NR;NFix;NAuth;LOC_added;MAX_LOC_added;AVG_LOC_added
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Abs.java;46;46;1;_;0;46;46;46
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AbstractVal.java;75;75;1;_;0;75;75;75
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Aggregate.java;193;193;1;_;0;193;193;193
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/All.java;34;34;1;_;0;34;34;34
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AndExpression.java;91;91;1;_;0;91;91;91
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Any.java;34;34;1;_;0;34;34;34
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Args.java;180;180;1;_;0;180;180;180
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Avg.java;41;41;1;_;0;41;41;41
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BindVariableAndExpression.java;79;79;1;_;0;79;79;79
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BindVariableExpression.java;80;80;1;_;0;80;80;80
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CompareEqualExpression.java;134;134;1;_;0;134;134;134
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CompareExpression.java;101;101;1;_;0;101;101;101
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Concat.java;174;174;1;_;0;174;174;174
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Const.java;204;204;1;_;0;204;204;204
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstGetObjectId.java;83;83;1;_;0;83;83;83
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstInstanceofExpression.java;76;76;1;_;0;76;76;76
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstPath.java;185;185;1;_;0;185;185;185
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ContainsExpression.java;62;62;1;_;0;62;62;62
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ContainsKeyExpression.java;46;46;1;_;0;46;46;46
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Count.java;55;55;1;_;0;55;55;55
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CurrentDate.java;70;70;1;_;0;70;70;70
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Distinct.java;45;45;1;_;0;45;45;45
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EmptyExpression.java;55;55;1;_;0;55;55;55
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EndsWithExpression.java;202;202;1;_;0;202;202;202
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EqualExpression.java;75;75;1;_;0;75;75;75
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Exp.java;72;72;1;_;0;72;72;72
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Extension.java;237;237;1;_;0;237;237;237
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValue.java;103;103;1;_;0;103;103;103
